governorate,nb_menages,area_km2,household_density
Tunis,360332,288,1251.1527777777778
Ariana,207279,482,430.03941908713693
Ben Arous,219302,761,288.1760840998686
Manouba,121092,1137,106.50131926121372
Nabeul,260375,2788,93.39131994261119
Zaghouan,55880,2768,20.1878612716763
Bizerte,180168,3685,48.89226594301221
Béja,91712,3558,25.77627880831928
Jendouba,122134,3102,39.37266279819471
Siliana,62246,4642,13.40930633347695
Sousse,228513,2621,87.1854254101488
Monastir,169582,1019,166.42001962708537
Mahdia,123099,2966,41.50337154416723
Kairouan,162280,6712,24.177592371871274
Kasserine,124025,8065,15.378177309361439
Sidi Bouzid,125472,6994,17.939948527309124
Sfax,304562,7545,40.366070245195495
Gafsa,103939,8990,11.561624026696329
Tozeur,31619,4719,6.7003602458147915
